FUNCTION,FILE,ENGINES,RATIONALE
_is_constant_like,opteryx/expression/functions/implementations/arithmetic.py,python,"Simple attribute check on incoming object to detect Draken-encoded constant vectors."
_constant_scalar,opteryx/expression/functions/implementations/arithmetic.py,python,"Extract scalar from Draken-encoded container; pure Python accessor logic."
round1,opteryx/expression/functions/implementations/arithmetic.py,cython;python,"Delegates to compiled vector kernels (`vector_round`, `vector_round_constant`); Python checks for constant fast-path."
round2,opteryx/expression/functions/implementations/arithmetic.py,cython;python,"Extracts digits scalar in Python then calls compiled vector kernels (`vector_round_digits`)."
random_number,opteryx/expression/functions/implementations/arithmetic.py,numpy,"NumPy random uniform generator."
random_normal,opteryx/expression/functions/implementations/arithmetic.py,numpy,"NumPy RNG (default_rng) for normal distribution."
random_strings,opteryx/expression/functions/implementations/arithmetic.py,cython,"Delegates to compiled kernel `vector_random_strings`."
safe_power,opteryx/expression/functions/implementations/arithmetic.py,pyarrow;numpy,"Prefers `pyarrow.compute.power` for typed semantics; NumPy used for checks/casting."
log,opteryx/expression/functions/implementations/arithmetic.py,cython,"Delegates to compiled vector kernel `vector_log`."
ceiling,opteryx/expression/functions/implementations/arithmetic.py,numpy;python,"NumPy elementwise ceil with Python-level scale handling and broadcasting."
floor,opteryx/expression/functions/implementations/arithmetic.py,numpy;python,"NumPy elementwise floor with Python-level scale handling and broadcasting."
trunc,opteryx/expression/functions/implementations/arithmetic.py,numpy;python,"NumPy elementwise trunc with Python-level scale handling and broadcasting."

to_lower,opteryx/expression/functions/implementations/text.py,draken;arrow,"Converts to Draken `StringVector`, runs SIMD lowercase kernel, returns Arrow."
to_upper,opteryx/expression/functions/implementations/text.py,draken;arrow,"Converts to Draken `StringVector`, runs SIMD uppercase kernel, returns Arrow."
vector_lengther,opteryx/expression/functions/implementations/text.py,draken;pyarrow,"Uses Draken/compiled `vector_length`/`vector_string_length`; uses pyarrow.compute.if_else to reapply nulls when needed."
_initcap,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_initcap` accepting `StringVector`."
_reverse,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_reverse` accepting `StringVector`."
_soundex,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_soundex` accepting `StringVector`."
_md5,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_md5` accepting `StringVector`."
_sha1,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_sha1` accepting `StringVector`."
_sha256,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_sha256` accepting `StringVector`."
_sha512,opteryx/expression/functions/implementations/text.py,draken;cython,"Delegates to compiled `vector_sha512` accepting `StringVector`."
