id,value,category
0,-50,0
1,-49,1
2,-48,2
3,-47,3
4,-46,4
5,-45,5
6,-44,6
7,-43,7
8,-42,8
9,-41,9
10,-40,0
11,-39,1
12,-38,2
13,-37,3
14,-36,4
15,-35,5
16,-34,6
17,-33,7
18,-32,8
19,-31,9
20,-30,0
21,-29,1
22,-28,2
23,-27,3
24,-26,4
25,-25,5
26,-24,6
27,-23,7
28,-22,8
29,-21,9
30,-20,0
31,-19,1
32,-18,2
33,-17,3
34,-16,4
35,-15,5
36,-14,6
37,-13,7
38,-12,8
39,-11,9
40,-10,0
41,-9,1
42,-8,2
43,-7,3
44,-6,4
45,-5,5
46,-4,6
47,-3,7
48,-2,8
49,-1,9
50,0,0
51,1,1
52,2,2
53,3,3
54,4,4
55,5,5
56,6,6
57,7,7
58,8,8
59,9,9
60,10,0
61,11,1
62,12,2
63,13,3
64,14,4
65,15,5
66,16,6
67,17,7
68,18,8
69,19,9
70,20,0
71,21,1
72,22,2
73,23,3
74,24,4
75,25,5
76,26,6
77,27,7
78,28,8
79,29,9
80,30,0
81,31,1
82,32,2
83,33,3
84,34,4
85,35,5
86,36,6
87,37,7
88,38,8
89,39,9
90,40,0
91,41,1
92,42,2
93,43,3
94,44,4
95,45,5
96,46,6
97,47,7
98,48,8
99,49,9
100,-50,0
101,-49,1
102,-48,2
103,-47,3
104,-46,4
105,-45,5
106,-44,6
107,-43,7
108,-42,8
109,-41,9
110,-40,0
111,-39,1
112,-38,2
113,-37,3
114,-36,4
115,-35,5
116,-34,6
117,-33,7
118,-32,8
119,-31,9
120,-30,0
121,-29,1
122,-28,2
123,-27,3
124,-26,4
125,-25,5
126,-24,6
127,-23,7
128,-22,8
129,-21,9
130,-20,0
131,-19,1
132,-18,2
133,-17,3
134,-16,4
135,-15,5
136,-14,6
137,-13,7
138,-12,8
139,-11,9
140,-10,0
141,-9,1
142,-8,2
143,-7,3
144,-6,4
145,-5,5
146,-4,6
147,-3,7
148,-2,8
149,-1,9
150,0,0
151,1,1
152,2,2
153,3,3
154,4,4
155,5,5
156,6,6
157,7,7
158,8,8
159,9,9
160,10,0
161,11,1
162,12,2
163,13,3
164,14,4
165,15,5
166,16,6
167,17,7
168,18,8
169,19,9
170,20,0
171,21,1
172,22,2
173,23,3
174,24,4
175,25,5
176,26,6
177,27,7
178,28,8
179,29,9
180,30,0
181,31,1
182,32,2
183,33,3
184,34,4
185,35,5
186,36,6
187,37,7
188,38,8
189,39,9
190,40,0
191,41,1
192,42,2
193,43,3
194,44,4
195,45,5
196,46,6
197,47,7
198,48,8
199,49,9
200,-50,0
201,-49,1
202,-48,2
203,-47,3
204,-46,4
205,-45,5
206,-44,6
207,-43,7
208,-42,8
209,-41,9
210,-40,0
211,-39,1
212,-38,2
213,-37,3
214,-36,4
215,-35,5
216,-34,6
217,-33,7
218,-32,8
219,-31,9
220,-30,0
221,-29,1
222,-28,2
223,-27,3
224,-26,4
225,-25,5
226,-24,6
227,-23,7
228,-22,8
229,-21,9
230,-20,0
231,-19,1
232,-18,2
233,-17,3
234,-16,4
235,-15,5
236,-14,6
237,-13,7
238,-12,8
239,-11,9
240,-10,0
241,-9,1
242,-8,2
243,-7,3
244,-6,4
245,-5,5
246,-4,6
247,-3,7
248,-2,8
249,-1,9
250,0,0
251,1,1
252,2,2
253,3,3
254,4,4
255,5,5
256,6,6
257,7,7
258,8,8
259,9,9
260,10,0
261,11,1
262,12,2
263,13,3
264,14,4
265,15,5
266,16,6
267,17,7
268,18,8
269,19,9
270,20,0
271,21,1
272,22,2
273,23,3
274,24,4
275,25,5
276,26,6
277,27,7
278,28,8
279,29,9
280,30,0
281,31,1
282,32,2
283,33,3
284,34,4
285,35,5
286,36,6
287,37,7
288,38,8
289,39,9
290,40,0
291,41,1
292,42,2
293,43,3
294,44,4
295,45,5
296,46,6
297,47,7
298,48,8
299,49,9
300,-50,0
301,-49,1
302,-48,2
303,-47,3
304,-46,4
305,-45,5
306,-44,6
307,-43,7
308,-42,8
309,-41,9
310,-40,0
311,-39,1
312,-38,2
313,-37,3
314,-36,4
315,-35,5
316,-34,6
317,-33,7
318,-32,8
319,-31,9
320,-30,0
321,-29,1
322,-28,2
323,-27,3
324,-26,4
325,-25,5
326,-24,6
327,-23,7
328,-22,8
329,-21,9
330,-20,0
331,-19,1
332,-18,2
333,-17,3
334,-16,4
335,-15,5
336,-14,6
337,-13,7
338,-12,8
339,-11,9
340,-10,0
341,-9,1
342,-8,2
343,-7,3
344,-6,4
345,-5,5
346,-4,6
347,-3,7
348,-2,8
349,-1,9
350,0,0
351,1,1
352,2,2
353,3,3
354,4,4
355,5,5
356,6,6
357,7,7
358,8,8
359,9,9
360,10,0
361,11,1
362,12,2
363,13,3
364,14,4
365,15,5
366,16,6
367,17,7
368,18,8
369,19,9
370,20,0
371,21,1
372,22,2
373,23,3
374,24,4
375,25,5
376,26,6
377,27,7
378,28,8
379,29,9
380,30,0
381,31,1
382,32,2
383,33,3
384,34,4
385,35,5
386,36,6
387,37,7
388,38,8
389,39,9
390,40,0
391,41,1
392,42,2
393,43,3
394,44,4
395,45,5
396,46,6
397,47,7
398,48,8
399,49,9
400,-50,0
401,-49,1
402,-48,2
403,-47,3
404,-46,4
405,-45,5
406,-44,6
407,-43,7
408,-42,8
409,-41,9
410,-40,0
411,-39,1
412,-38,2
413,-37,3
414,-36,4
415,-35,5
416,-34,6
417,-33,7
418,-32,8
419,-31,9
420,-30,0
421,-29,1
422,-28,2
423,-27,3
424,-26,4
425,-25,5
426,-24,6
427,-23,7
428,-22,8
429,-21,9
430,-20,0
431,-19,1
432,-18,2
433,-17,3
434,-16,4
435,-15,5
436,-14,6
437,-13,7
438,-12,8
439,-11,9
440,-10,0
441,-9,1
442,-8,2
443,-7,3
444,-6,4
445,-5,5
446,-4,6
447,-3,7
448,-2,8
449,-1,9
450,0,0
451,1,1
452,2,2
453,3,3
454,4,4
455,5,5
456,6,6
457,7,7
458,8,8
459,9,9
460,10,0
461,11,1
462,12,2
463,13,3
464,14,4
465,15,5
466,16,6
467,17,7
468,18,8
469,19,9
470,20,0
471,21,1
472,22,2
473,23,3
474,24,4
475,25,5
476,26,6
477,27,7
478,28,8
479,29,9
480,30,0
481,31,1
482,32,2
483,33,3
484,34,4
485,35,5
486,36,6
487,37,7
488,38,8
489,39,9
490,40,0
491,41,1
492,42,2
493,43,3
494,44,4
495,45,5
496,46,6
497,47,7
498,48,8
499,49,9
500,-50,0
501,-49,1
502,-48,2
503,-47,3
504,-46,4
505,-45,5
506,-44,6
507,-43,7
508,-42,8
509,-41,9
510,-40,0
511,-39,1
512,-38,2
513,-37,3
514,-36,4
515,-35,5
516,-34,6
517,-33,7
518,-32,8
519,-31,9
520,-30,0
521,-29,1
522,-28,2
523,-27,3
524,-26,4
525,-25,5
526,-24,6
527,-23,7
528,-22,8
