File Path,Line Numbers,Pattern Type,Classification,Frequency,Code Context,Current Usage,Refactoring Priority,Effort,Estimated Impact,Recommended Replacement,Notes
opteryx/compiled/joins/cross_join.pyx,48-49,numpy.empty allocation,HOT,1 per UNNEST,return numpy.empty(0 dtype=numpy.int64),Buffer initialization for empty result,1-CRITICAL,HIGH,2-5% join speedup,Use Draken IntBuffer pool,UNNEST cross-join hot path
opteryx/compiled/joins/cross_join.pyx,52-58,numpy.empty allocation,HOT,1 per UNNEST,indices_np = numpy.empty() flat_data_np = numpy.empty(),Row index and data buffer allocation,1-CRITICAL,HIGH,2-5% join speedup,Pre-allocate Draken buffers,Main UNNEST data path
opteryx/compiled/joins/cross_join.pyx,92-102,numpy.empty allocation,HOT,1 per UNNEST,"cdef numpy.int64_t[::1] lengths = numpy.empty()",Length tracking array for array columns,1-CRITICAL,HIGH,2-5% join speedup,Use native C++ int array,Complex UNNEST variant
opteryx/compiled/joins/cross_join.pyx,108-109,numpy.array allocation,HOT,1 per UNNEST empty,"return (numpy.array([] dtype=numpy.int64)",Empty result construction,1-CRITICAL,MEDIUM,2-5% join speedup,Return Draken empty buffer,Simple UNNEST result path
opteryx/compiled/joins/cross_join.pyx,113-118,numpy.empty allocation,HOT,1 per UNNEST,"cdef numpy.int64_t[::1] indices = numpy.empty()","Indices buffer for flattened array",1-CRITICAL,HIGH,2-5% join speedup,Use IntBuffer from pool,Hot inner loop buffer
opteryx/compiled/joins/cross_join.pyx,162-175,numpy.empty allocation,HOT,1 per filtered UNNEST,"indices = numpy.empty() flat_data = numpy.empty()","Filtered cross-join buffer allocation",1-CRITICAL,HIGH,2-5% join speedup,Pre-allocate with filter estimate,Filtered UNNEST variant
opteryx/compiled/joins/cross_join.pyx,191-199,numpy.resize allocation,HOT,Multiple per filtered UNNEST,"indices = numpy.resize() flat_data = numpy.resize()","Dynamic buffer reallocation during filtering",1-CRITICAL,VERY-HIGH,3-8% overall,Use buffer pool with exponential growth,Reallocation pattern - major GC pressure
opteryx/compiled/joins/cross_join.pyx,227-282,numpy.empty allocation,HOT,1 per filtered UNNEST,"numpy.ndarray indices = numpy.empty() flat_data = numpy.empty()","Multi-variant filtered UNNEST buffers",1-CRITICAL,HIGH,2-5% join speedup,Draken buffer management,Complex variant handling
opteryx/compiled/joins/inner_join.pyx,175-178,numpy.asarray allocation,HOT,1 per inner join,"numpy.asarray(row_hashes)[numpy.asarray()]","Hash table row batch insertion",1-CRITICAL,MEDIUM,2-4% join speedup,Direct C++ array slicing,Hash table hot path
opteryx/compiled/joins/inner_join.pyx,208-215,numpy.asarray allocation,HOT,1 per inner join,"cdef numpy.ndarray[numpy.uint64_t] probe_hashes = numpy.asarray()","Probe side hash array construction",1-CRITICAL,MEDIUM,2-4% join speedup,Use vector pointer directly,Join probe phase
opteryx/compiled/joins/inner_join.pyx,225-230,numpy.asarray allocation,HOT,1 per inner join result,"left_np = numpy.asarray() right_np = numpy.asarray()","Result array type casting",1-CRITICAL,MEDIUM,2-4% join speedup,Skip asarray - already typed,Join result assembly
opteryx/compiled/structures/buffers.pyx,97-100,numpy.asarray allocation,WARM,1 per extend call,"numpy.ascontiguousarray(iterable dtype=numpy.int64)","Array extension validation",2-HIGH,MEDIUM,<1% overall,Direct buffer append,Buffer management utility
opteryx/compiled/structures/buffers.pyx,115-119,numpy.empty allocation,WARM,1 per extend_numpy call,"cdef void extend_numpy() memcpy(arr.data)","NumPy-to-C++ buffer copy",2-HIGH,LOW,<1% overall,Keep as-is - efficient,FFI boundary code
opteryx/compiled/structures/buffers.pyx,124-129,numpy.empty allocation,WARM,1 per to_numpy call,"numpy.empty(n dtype=numpy.int64) memcpy()","Buffer export to NumPy array",2-HIGH,LOW,<1% overall,Keep as-is - interface layer,Buffer export interface
opteryx/compiled/structures/hash_table.pyx,56-62,numpy.empty allocation,HOT,1 per distinct operation,"cdef numpy.int64_t[::1] new_indices = numpy.empty()","Distinct value tracking indices",2-HIGH,MEDIUM,1-2% speedup,Draken buffer pool,Hot distinct path
opteryx/compiled/table_ops/null_avoidant_ops.pyx,29-39,numpy.ones allocation,HOT,1 per NULL filter,"numpy.ndarray[uint8_t] combined_nulls_np = numpy.ones()","Null bitmap initialization",2-HIGH,MEDIUM,1-2% speedup,Use bit manipulation directly,Hot null filtering
opteryx/compiled/table_ops/null_avoidant_ops.pyx,37,numpy.empty allocation,HOT,1 per NULL filter,"numpy.ndarray[int64_t] indices = numpy.empty()","Null-free row index buffer",2-HIGH,MEDIUM,1-2% speedup,Draken IntBuffer,Hot null filtering
